person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,female,Bachelor,$60.923,0,MORTGAGE,$12.800,EDUCATION,"6,98","21,00%",3,623,Yes,0
25,male,High School,$52.460,1,RENT,$10.000,EDUCATION,"8,33","19,00%",3,482,Yes,0
23,female,High School,$60.737,1,MORTGAGE,$6.000,PERSONAL,"7,3","10,00%",3,626,Yes,0
23,male,High School,$61.178,0,RENT,$7.000,EDUCATION,"8,12","11,00%",3,571,Yes,0
24,male,Master,$18.044,0,RENT,$1.813,VENTURE,"8,01","10,00%",3,531,Yes,0
25,female,Bachelor,$56.107,2,RENT,$7.000,EDUCATION,"8,89","12,00%",3,627,Yes,0
26,male,Bachelor,$63.325,2,OWN,$6.000,VENTURE,"15,49","9,00%",3,702,Yes,0
23,female,High School,$52.861,0,RENT,$11.365,HOMEIMPROVEMENT,"11,24","21,00%",3,576,Yes,0
23,female,Bachelor,$111.360,2,MORTGAGE,$2.279,EDUCATION,"12,49","2,00%",3,684,Yes,0
23,female,High School,$55.005,0,RENT,$10.000,EDUCATION,"10,99","18,00%",3,658,No,0
23,female,Master,$79.116,1,MORTGAGE,$5.500,DEBTCONSOLIDATION,"7,88","7,00%",3,560,Yes,0
26,male,Bachelor,$151.246,1,MORTGAGE,$19.627,DEBTCONSOLIDATION,"12,12","13,00%",3,510,Yes,0
24,female,Bachelor,$100.941,0,MORTGAGE,$25.000,DEBTCONSOLIDATION,"13,79","25,00%",3,645,Yes,0
23,male,Bachelor,$25.832,1,RENT,$3.146,MEDICAL,"13,21","12,00%",3,685,Yes,0
23,female,High School,$97.293,2,RENT,$1.358,EDUCATION,"8,96","1,00%",3,640,Yes,0
25,male,Bachelor,$89.673,4,RENT,$16.000,PERSONAL,"10,41","18,00%",3,673,Yes,0
24,male,Master,$49.115,1,MORTGAGE,$6.000,MEDICAL,"11,01","12,00%",3,573,Yes,0
22,male,Bachelor,$46.137,3,RENT,$7.074,DEBTCONSOLIDATION,11,"15,00%",3,667,Yes,0
24,male,Bachelor,$114.049,3,MORTGAGE,$10.000,HOMEIMPROVEMENT,"15,85","9,00%",3,671,Yes,0
24,female,Associate,$79.141,1,RENT,$15.000,VENTURE,"10,21","19,00%",3,656,No,0
24,male,High School,$106.491,1,MORTGAGE,$14.154,PERSONAL,"10,38","13,00%",3,640,Yes,0
26,female,High School,$66.961,2,RENT,$8.483,EDUCATION,"10,65","13,00%",3,565,Yes,0
26,female,Bachelor,$78.906,4,RENT,$15.000,MEDICAL,"11,39","19,00%",3,711,No,0
23,female,High School,$116.390,0,MORTGAGE,$10.000,PERSONAL,"8,35","9,00%",3,541,Yes,0
26,male,Bachelor,$71.507,4,MORTGAGE,$5.000,MEDICAL,"8,59","7,00%",3,613,No,0
25,male,High School,$45.152,0,RENT,$5.000,EDUCATION,"6,43","11,00%",3,644,Yes,0
22,female,Bachelor,$67.307,0,RENT,$5.000,VENTURE,"6,44","7,00%",3,681,No,0
22,female,High School,$32.072,0,RENT,$7.562,DEBTCONSOLIDATION,"10,93","24,00%",3,574,Yes,0
25,male,High School,$108.934,0,MORTGAGE,$15.000,MEDICAL,"10,43","14,00%",3,607,Yes,0
26,female,Associate,$46.104,4,RENT,$10.000,VENTURE,"13,15","22,00%",3,575,Yes,0
23,female,Associate,$60.911,0,RENT,$5.297,EDUCATION,"13,99","9,00%",3,537,Yes,0
24,female,Associate,$56.101,0,MORTGAGE,$10.000,VENTURE,"8,66","18,00%",3,661,No,0
24,male,Master,$70.636,2,RENT,$5.000,PERSONAL,"12,72","7,00%",3,647,No,0
24,female,High School,$123.313,3,MORTGAGE,$13.608,VENTURE,"6,69","11,00%",3,529,No,0
23,male,Bachelor,$49.050,2,RENT,$2.500,HOMEIMPROVEMENT,"12,88","5,00%",3,535,Yes,0
24,male,Bachelor,$127.104,0,MORTGAGE,$19.067,VENTURE,"12,19","15,00%",3,567,Yes,0
26,male,Associate,$97.224,3,MORTGAGE,$5.000,VENTURE,"15,27","5,00%",3,617,Yes,0
25,male,Bachelor,$73.949,4,MORTGAGE,$15.000,HOMEIMPROVEMENT,"14,65","20,00%",3,666,Yes,0
23,female,Associate,$71.984,0,MORTGAGE,$6.000,MEDICAL,"10,55","8,00%",3,496,Yes,0
25,male,Associate,$132.979,4,MORTGAGE,$6.442,EDUCATION,"12,31","5,00%",3,623,Yes,0
23,female,Associate,$43.664,1,RENT,$8.000,EDUCATION,"6,52","18,00%",3,568,Yes,0
22,male,Bachelor,$65.003,0,RENT,$12.000,MEDICAL,"13,06","18,00%",3,672,Yes,0
25,male,High School,$74.083,4,RENT,$12.000,PERSONAL,"8,46","16,00%",3,571,No,0
25,female,Master,$97.977,0,RENT,$12.000,PERSONAL,"8,22","12,00%",3,665,Yes,0
26,female,Bachelor,$123.934,7,MORTGAGE,$25.000,PERSONAL,"10,83","20,00%",3,700,No,0
24,female,Bachelor,$132.954,3,RENT,$20.000,VENTURE,"10,72","15,00%",3,610,No,0
27,female,Bachelor,$39.394,4,RENT,$5.000,MEDICAL,"7,41","13,00%",3,645,No,0
25,male,High School,$87.594,1,MORTGAGE,$10.000,EDUCATION,"14,56","11,00%",3,684,Yes,0
23,female,Master,$91.042,1,RENT,$10.000,VENTURE,"6,03","11,00%",3,546,Yes,0
23,female,High School,$40.930,0,RENT,$10.000,MEDICAL,"9,39","24,00%",3,577,Yes,0
24,male,High School,$46.657,2,RENT,$8.000,MEDICAL,"11,02","17,00%",3,635,Yes,0
24,male,Associate,$31.171,0,RENT,$4.000,VENTURE,"9,45","13,00%",3,659,Yes,0
24,male,Bachelor,$54.612,3,RENT,$6.000,EDUCATION,"11,45","11,00%",3,493,Yes,0
24,female,Master,$60.815,5,RENT,$5.000,DEBTCONSOLIDATION,"6,73","8,00%",3,602,Yes,0
22,female,High School,$33.811,0,RENT,$5.000,EDUCATION,"10,43","15,00%",3,508,Yes,0
24,male,Associate,$60.928,0,MORTGAGE,$6.000,PERSONAL,"10,63","10,00%",3,618,Yes,0
23,male,Associate,$90.249,2,RENT,$12.000,VENTURE,"11,58","13,00%",3,534,Yes,0
24,female,Bachelor,$55.111,2,RENT,$12.000,EDUCATION,"11,07","22,00%",3,581,Yes,0
24,male,Associate,$74.912,2,MORTGAGE,$2.000,EDUCATION,"13,49","3,00%",3,571,No,0
24,male,Bachelor,$84.912,3,MORTGAGE,$10.018,MEDICAL,"14,77","12,00%",3,668,Yes,0
24,female,High School,$31.250,1,RENT,$4.000,VENTURE,"9,45","13,00%",3,552,No,0
22,female,Associate,$43.700,0,RENT,$4.000,DEBTCONSOLIDATION,"5,42","9,00%",3,634,Yes,0
25,male,High School,$60.864,0,RENT,$6.000,VENTURE,"13,2","10,00%",3,598,No,0
25,male,Bachelor,$84.656,3,MORTGAGE,$7.043,MEDICAL,"10,63","8,00%",3,682,Yes,0
23,female,High School,$29.978,1,RENT,$5.000,PERSONAL,"8,31","17,00%",3,663,Yes,0
24,male,Associate,$67.990,1,MORTGAGE,$2.107,DEBTCONSOLIDATION,"10,8","3,00%",3,647,Yes,0
23,female,Associate,$90.994,0,RENT,$8.000,DEBTCONSOLIDATION,"10,22","9,00%",3,604,Yes,0
25,female,High School,$136.771,5,MORTGAGE,$25.000,EDUCATION,"11,12","18,00%",3,666,Yes,0
25,female,Associate,$120.980,4,MORTGAGE,$14.000,VENTURE,"9,4","12,00%",3,648,Yes,0
26,male,Bachelor,$49.122,0,RENT,$7.200,EDUCATION,"8,46","15,00%",3,491,Yes,0
26,female,Bachelor,$104.202,5,MORTGAGE,$10.000,EDUCATION,"11,22","10,00%",3,620,No,0
23,male,High School,$38.687,1,RENT,$4.184,DEBTCONSOLIDATION,"13,47","11,00%",3,602,Yes,0
23,male,Associate,$32.278,1,RENT,$3.888,EDUCATION,"8,19","12,00%",3,659,Yes,0
24,female,Associate,$73.809,3,RENT,$15.000,DEBTCONSOLIDATION,"10,86","20,00%",3,564,Yes,0
26,male,High School,$49.016,2,RENT,$6.000,MEDICAL,"10,83","12,00%",3,573,Yes,0
24,male,High School,$91.148,3,RENT,$8.000,MEDICAL,"8,11","9,00%",3,648,No,0
25,male,Master,$83.387,0,MORTGAGE,$6.000,MEDICAL,"9,29","7,00%",3,580,Yes,0
24,male,High School,$97.273,0,MORTGAGE,$24.000,DEBTCONSOLIDATION,"16,22","25,00%",3,662,No,0
25,male,Associate,$44.164,3,RENT,$3.509,MEDICAL,"9,18","8,00%",3,573,No,0
24,female,High School,$96.912,0,MORTGAGE,$5.000,PERSONAL,"5,72","5,00%",3,608,Yes,0
23,male,Master,$35.758,1,OWN,$6.000,VENTURE,"8,45","17,00%",3,566,Yes,0
25,male,Associate,$32.538,2,RENT,$5.342,MEDICAL,"9,57","16,00%",3,664,Yes,0
25,male,Associate,$95.822,2,RENT,$20.331,PERSONAL,"7,24","21,00%",3,631,No,0
24,male,Master,$29.713,2,OWN,$6.000,MEDICAL,"14,56","20,00%",3,688,No,0
26,female,Associate,$39.694,2,RENT,$6.351,VENTURE,"10,89","16,00%",3,576,Yes,0
25,female,Bachelor,$58.494,4,MORTGAGE,$12.000,MEDICAL,"11,33","21,00%",3,551,Yes,0
24,male,Master,$102.789,5,MORTGAGE,$4.000,HOMEIMPROVEMENT,"6,74","4,00%",3,636,Yes,0
24,female,Bachelor,$48.999,0,RENT,$3.600,MEDICAL,"10,59","7,00%",3,708,No,0
25,male,Associate,$82.568,6,MORTGAGE,$6.000,EDUCATION,"11,22","7,00%",3,660,No,0
23,female,Master,$87.320,0,OWN,$16.000,VENTURE,"10,89","18,00%",3,635,No,0
25,male,Associate,$50.505,5,RENT,$11.889,PERSONAL,"12,01","24,00%",3,637,Yes,0
24,male,Bachelor,$91.261,1,RENT,$12.000,PERSONAL,"12,18","13,00%",3,593,Yes,0
24,male,High School,$29.666,2,RENT,$3.994,VENTURE,"12,62","13,00%",3,696,Yes,0
26,male,Bachelor,$58.724,3,RENT,$7.000,EDUCATION,"9,51","12,00%",3,676,No,0
23,male,High School,$50.175,1,RENT,$4.780,MEDICAL,"11,09","10,00%",3,669,Yes,0
25,male,Associate,$72.567,3,MORTGAGE,$6.942,EDUCATION,"10,41","10,00%",3,649,No,0
25,female,Associate,$107.426,2,RENT,$7.200,EDUCATION,"13,47","7,00%",3,671,Yes,0
26,male,Bachelor,$83.887,2,RENT,$14.016,VENTURE,"12,75","17,00%",3,560,Yes,0
23,female,Associate,$72.846,0,RENT,$15.000,VENTURE,"14,05","21,00%",3,556,Yes,0
24,male,High School,$66.807,0,MORTGAGE,$15.000,PERSONAL,"11,82","22,00%",3,601,Yes,0
25,female,Bachelor,$75.831,2,RENT,$2.000,HOMEIMPROVEMENT,"13,07","3,00%",3,615,No,0
24,male,Bachelor,$57.786,3,RENT,$10.000,PERSONAL,"11,73","17,00%",3,651,Yes,0
26,male,Associate,$47.850,7,MORTGAGE,$2.931,MEDICAL,"12,61","6,00%",3,572,Yes,0
25,male,Bachelor,$75.585,3,RENT,$15.000,EDUCATION,"9,28","20,00%",3,632,Yes,0
26,male,Associate,$82.152,4,MORTGAGE,$6.000,EDUCATION,"10,24","7,00%",3,681,Yes,0
24,male,Bachelor,$102.877,4,MORTGAGE,$27.072,MEDICAL,"11,76","26,00%",3,679,Yes,0
24,female,High School,$73.404,6,MORTGAGE,$14.000,VENTURE,"8,26","19,00%",3,617,Yes,0
25,female,Bachelor,$57.589,3,RENT,$6.000,VENTURE,"7,6","10,00%",3,571,Yes,0
24,female,Bachelor,$66.886,0,RENT,$4.200,HOMEIMPROVEMENT,"14,14","6,00%",3,605,Yes,0
26,female,High School,$71.567,4,OWN,$5.092,MEDICAL,"8,4","7,00%",3,609,No,0
24,male,High School,$40.588,2,MORTGAGE,$8.000,EDUCATION,"9,92","20,00%",3,676,Yes,0
25,male,Bachelor,$43.129,0,RENT,$5.000,MEDICAL,"10,49","12,00%",3,570,Yes,0
24,female,Master,$66.978,0,RENT,$5.000,EDUCATION,11,"7,00%",3,644,No,0
23,male,Associate,$73.154,4,RENT,$15.000,HOMEIMPROVEMENT,"14,11","21,00%",3,686,No,0
23,female,Bachelor,$37.116,1,RENT,$3.600,VENTURE,"10,5","10,00%",3,638,Yes,0
23,female,Associate,$31.137,0,RENT,$2.400,MEDICAL,"14,23","8,00%",3,569,Yes,0
24,male,Bachelor,$40.591,5,RENT,$10.048,EDUCATION,"6,4","25,00%",3,682,Yes,0
24,female,High School,$49.212,5,RENT,$5.000,MEDICAL,"6,17","10,00%",3,691,Yes,0
23,male,Associate,$59.641,0,RENT,$14.000,EDUCATION,"11,43","23,00%",3,689,Yes,0
24,female,High School,$43.120,1,OWN,$13.000,PERSONAL,"14,75","30,00%",3,656,Yes,0
23,male,Associate,$30.186,1,RENT,$2.000,EDUCATION,"13,78","7,00%",3,618,Yes,0
25,male,Associate,$180.720,2,MORTGAGE,$25.000,EDUCATION,"10,46","14,00%",3,570,Yes,0
25,female,Associate,$108.961,1,MORTGAGE,$6.000,PERSONAL,"7,86","6,00%",3,664,No,0
23,female,Associate,$85.091,0,MORTGAGE,$5.000,PERSONAL,"10,53","6,00%",3,577,No,0
23,male,High School,$115.064,0,MORTGAGE,$4.000,VENTURE,"8,08","3,00%",3,626,Yes,0
25,female,High School,$90.882,5,RENT,$4.810,EDUCATION,"14,99","5,00%",3,564,No,0
24,male,High School,$51.638,3,RENT,$7.000,EDUCATION,"8,6","14,00%",3,558,Yes,0
25,male,Bachelor,$85.257,2,RENT,$6.000,PERSONAL,"6,37","7,00%",3,657,No,0
24,male,High School,$73.937,4,RENT,$2.500,MEDICAL,"7,23","3,00%",3,678,No,0
26,female,Associate,$97.265,3,MORTGAGE,$4.436,HOMEIMPROVEMENT,"13,32","5,00%",3,592,Yes,0
23,male,Associate,$73.251,4,RENT,$9.000,PERSONAL,"6,73","12,00%",3,691,Yes,0
23,male,Bachelor,$40.606,1,MORTGAGE,$12.390,EDUCATION,"7,36","31,00%",3,591,Yes,0
26,male,Bachelor,$98.011,2,MORTGAGE,$5.148,MEDICAL,"10,9","5,00%",3,655,Yes,0
24,female,High School,$83.852,0,MORTGAGE,$15.000,EDUCATION,"13,48","18,00%",3,631,No,0
24,female,Master,$85.280,0,MORTGAGE,$2.000,EDUCATION,"8,41","2,00%",3,672,Yes,0
24,female,Bachelor,$30.920,4,RENT,$2.500,DEBTCONSOLIDATION,"7,42","8,00%",3,492,Yes,0
26,male,Associate,$217.037,1,MORTGAGE,$14.493,MEDICAL,"10,21","7,00%",3,650,No,0
23,female,Bachelor,$90.794,0,MORTGAGE,$11.000,MEDICAL,"5,47","12,00%",3,677,No,0
25,female,High School,$52.355,0,RENT,$10.000,DEBTCONSOLIDATION,"6,95","19,00%",3,620,Yes,0
22,female,Bachelor,$51.036,1,RENT,$5.000,MEDICAL,"9,13","10,00%",3,669,No,0
24,female,Associate,$115.840,2,MORTGAGE,$10.000,HOMEIMPROVEMENT,"6,93","9,00%",3,642,No,0
23,female,Associate,$60.621,0,RENT,$10.000,EDUCATION,"11,71","16,00%",3,646,No,0
23,male,Associate,$54.964,2,RENT,$2.000,EDUCATION,"8,13","4,00%",3,643,Yes,0
23,female,High School,$157.061,2,MORTGAGE,$25.000,HOMEIMPROVEMENT,"11,83","16,00%",3,589,Yes,0
21,male,Associate,$42.859,1,RENT,$7.000,MEDICAL,"12,98","16,00%",3,581,No,0
24,male,Master,$40.517,0,RENT,$4.000,DEBTCONSOLIDATION,"11,35","10,00%",3,686,Yes,0
26,female,High School,$27.133,4,OWN,$7.504,MEDICAL,"10,96","28,00%",3,559,Yes,0
23,female,High School,$58.128,0,RENT,$8.000,VENTURE,"12,24","14,00%",3,657,No,0
25,male,Associate,$44.657,0,MORTGAGE,$5.600,VENTURE,"8,79","13,00%",3,629,Yes,0
25,female,Bachelor,$67.579,4,MORTGAGE,$15.000,EDUCATION,"13,82","22,00%",3,646,No,0
23,male,Bachelor,$78.924,1,RENT,$3.000,MEDICAL,"10,63","4,00%",3,663,No,0
27,male,Master,$241.051,3,MORTGAGE,$2.538,PERSONAL,"13,16","1,00%",3,591,Yes,0
26,male,High School,$76.734,4,MORTGAGE,$7.037,PERSONAL,"13,56","9,00%",3,652,No,0
23,male,Master,$144.858,0,MORTGAGE,$6.000,VENTURE,"7,88","4,00%",3,568,No,0
25,female,Master,$73.045,1,RENT,$8.400,VENTURE,"6,66","11,00%",3,579,Yes,0
26,female,High School,$89.951,0,MORTGAGE,$8.000,EDUCATION,"14,68","9,00%",3,622,Yes,0
25,male,Master,$48.489,1,RENT,$10.000,VENTURE,"9,92","21,00%",3,706,Yes,0
25,male,High School,$66.874,5,MORTGAGE,$4.500,DEBTCONSOLIDATION,"8,49","7,00%",3,648,Yes,0
26,male,Bachelor,$192.978,6,RENT,$20.000,PERSONAL,"10,24","10,00%",3,613,No,0
23,female,High School,$49.124,0,RENT,$7.000,DEBTCONSOLIDATION,"9,17","14,00%",3,593,Yes,0
26,female,High School,$64.203,0,MORTGAGE,$10.797,VENTURE,"7,89","17,00%",3,665,No,0
23,female,Bachelor,$27.043,0,RENT,$4.802,DEBTCONSOLIDATION,"13,49","18,00%",3,557,Yes,0
23,male,High School,$40.784,2,RENT,$1.800,EDUCATION,"9,98","4,00%",3,608,Yes,0
23,male,Associate,$60.213,1,RENT,$12.000,EDUCATION,"7,07","20,00%",3,602,Yes,0
23,male,Bachelor,$45.409,3,RENT,$2.000,PERSONAL,"14,02","4,00%",3,590,Yes,0
26,male,High School,$127.368,4,MORTGAGE,$5.000,MEDICAL,"10,53","4,00%",3,675,Yes,0
25,female,High School,$67.122,4,RENT,$3.813,MEDICAL,"8,56","6,00%",3,619,Yes,0
24,female,Associate,$94.887,3,MORTGAGE,$4.566,EDUCATION,"9,42","5,00%",3,684,Yes,0
23,female,Associate,$36.831,4,RENT,$6.000,EDUCATION,"8,96","16,00%",3,531,Yes,0
24,female,Associate,$90.560,2,MORTGAGE,$3.000,HOMEIMPROVEMENT,"11,01","3,00%",3,622,Yes,0
24,female,Bachelor,$126.909,0,MORTGAGE,$12.000,VENTURE,"12,61","9,00%",3,587,Yes,0
25,female,High School,$73.370,3,MORTGAGE,$1.200,DEBTCONSOLIDATION,"7,66","2,00%",3,572,Yes,0
26,female,Associate,$46.680,1,MORTGAGE,$18.347,MEDICAL,"10,23","39,00%",3,650,Yes,0
23,female,Associate,$101.931,0,RENT,$25.000,PERSONAL,"14,65","25,00%",3,636,No,0
25,female,High School,$29.736,6,RENT,$2.000,EDUCATION,"11,2","7,00%",3,612,Yes,0
23,female,Bachelor,$29.655,1,OWN,$7.121,VENTURE,"10,21","24,00%",3,651,No,0
23,female,Bachelor,$53.774,0,RENT,$3.000,MEDICAL,"11,49","6,00%",3,650,Yes,0
25,female,High School,$81.347,5,OWN,$16.000,MEDICAL,"15,89","20,00%",3,642,No,0
25,female,High School,$67.196,0,MORTGAGE,$15.000,MEDICAL,"9,62","22,00%",3,585,Yes,0
26,female,Associate,$120.166,4,MORTGAGE,$15.000,MEDICAL,"6,99","12,00%",3,621,Yes,0
25,male,Bachelor,$38.003,1,RENT,$2.226,MEDICAL,"9,3","6,00%",3,594,Yes,0
24,female,Master,$44.086,2,RENT,$6.000,MEDICAL,"14,98","14,00%",3,691,No,0
24,male,Master,$60.808,3,MORTGAGE,$9.000,PERSONAL,"11,24","15,00%",3,657,Yes,0
26,male,Associate,$145.045,3,RENT,$25.000,EDUCATION,"9,83","17,00%",3,674,No,0
23,female,Master,$42.999,3,RENT,$3.000,DEBTCONSOLIDATION,"11,51","7,00%",3,673,No,0
23,male,Associate,$44.305,1,MORTGAGE,$5.500,VENTURE,"10,86","12,00%",3,669,Yes,0
25,female,Associate,$84.308,2,MORTGAGE,$7.000,MEDICAL,"11,09","8,00%",3,596,Yes,0
23,male,Bachelor,$113.045,0,MORTGAGE,$20.874,VENTURE,"9,85","18,00%",3,645,Yes,0
23,female,Bachelor,$72.791,0,RENT,$15.000,EDUCATION,"11,76","21,00%",3,651,Yes,0
23,male,High School,$90.681,0,RENT,$2.000,VENTURE,"12,23","2,00%",3,673,Yes,0
23,male,High School,$87.678,0,MORTGAGE,$12.000,PERSONAL,"8,64","14,00%",3,622,Yes,0
25,female,Associate,$87.429,4,MORTGAGE,$18.000,HOMEIMPROVEMENT,"17,59","21,00%",3,648,Yes,0
25,female,Bachelor,$142.449,1,MORTGAGE,$4.997,PERSONAL,"5,48","4,00%",3,674,Yes,0
23,female,Bachelor,$115.052,0,MORTGAGE,$4.348,MEDICAL,"7,9","4,00%",3,606,No,0
25,male,Bachelor,$84.745,6,RENT,$10.000,EDUCATION,"11,55","12,00%",3,625,Yes,0
25,male,Master,$144.889,2,RENT,$12.000,PERSONAL,"7,35","8,00%",3,614,Yes,0
24,female,High School,$96.941,3,MORTGAGE,$5.000,PERSONAL,"6,12","5,00%",3,643,No,0
24,male,Master,$46.146,2,RENT,$8.000,MEDICAL,"9,54","17,00%",3,627,No,0
23,male,High School,$42.858,4,RENT,$2.100,VENTURE,"5,42","5,00%",3,640,Yes,0
25,male,Associate,$89.841,6,RENT,$12.000,VENTURE,"8,06","13,00%",3,642,No,0
25,female,Associate,$114.711,3,RENT,$2.508,MEDICAL,"7,05","2,00%",3,619,Yes,0
24,male,High School,$86.850,1,MORTGAGE,$5.000,PERSONAL,"11,25","6,00%",3,592,No,0
23,male,Associate,$64.282,0,RENT,$13.863,VENTURE,"12,54","22,00%",3,629,Yes,0
24,male,High School,$100.533,3,MORTGAGE,$5.000,PERSONAL,"16,35","5,00%",3,530,Yes,0
26,female,Bachelor,$66.323,0,MORTGAGE,$4.500,PERSONAL,"9,87","7,00%",3,664,Yes,0
23,male,Master,$43.286,2,RENT,$6.500,MEDICAL,"5,48","15,00%",3,654,Yes,0
25,female,Bachelor,$51.528,5,RENT,$8.000,VENTURE,7,"16,00%",3,678,Yes,0
23,male,Master,$151.143,0,MORTGAGE,$10.000,VENTURE,"14,49","7,00%",3,619,Yes,0
23,male,Bachelor,$72.157,1,MORTGAGE,$7.412,PERSONAL,"6,97","10,00%",3,616,Yes,0
23,female,High School,$63.517,2,RENT,$4.594,PERSONAL,"8,81","7,00%",3,659,No,0
26,female,Bachelor,$64.696,4,MORTGAGE,$8.000,DEBTCONSOLIDATION,"9,55","12,00%",3,673,Yes,0
23,male,Associate,$35.023,0,MORTGAGE,$8.500,DEBTCONSOLIDATION,"8,39","24,00%",3,627,Yes,0
23,female,Master,$97.049,2,MORTGAGE,$10.000,PERSONAL,"7,66","10,00%",3,711,No,0
26,male,Master,$102.875,1,MORTGAGE,$2.500,EDUCATION,"9,39","2,00%",3,574,No,0
23,female,Associate,$66.956,2,MORTGAGE,$1.469,EDUCATION,"12,11","2,00%",3,641,Yes,0
25,male,Bachelor,$84.674,4,RENT,$5.600,MEDICAL,"8,57","7,00%",3,611,Yes,0
24,male,High School,$84.767,3,RENT,$10.000,MEDICAL,"7,37","12,00%",3,513,Yes,0
24,male,Master,$48.997,0,RENT,$4.500,EDUCATION,"12,46","9,00%",3,643,No,0
25,male,Bachelor,$84.707,0,RENT,$12.000,MEDICAL,"10,56","14,00%",3,577,Yes,0
25,female,Bachelor,$84.411,2,RENT,$1.483,DEBTCONSOLIDATION,"7,7","2,00%",3,694,No,0
23,male,Associate,$52.931,0,MORTGAGE,$9.605,DEBTCONSOLIDATION,"6,88","18,00%",3,597,No,0
23,female,High School,$44.367,0,MORTGAGE,$11.724,MEDICAL,"12,77","26,00%",3,623,Yes,0
25,male,Master,$87.268,4,MORTGAGE,$11.200,MEDICAL,"9,54","13,00%",3,659,Yes,0
23,female,Associate,$91.004,3,RENT,$3.000,HOMEIMPROVEMENT,"9,65","3,00%",3,630,Yes,0
26,male,High School,$88.292,5,RENT,$10.000,MEDICAL,"7,69","11,00%",3,596,Yes,0
27,female,Associate,$126.946,5,MORTGAGE,$10.000,VENTURE,"7,32","8,00%",3,697,Yes,0
23,male,Bachelor,$49.255,2,MORTGAGE,$5.000,MEDICAL,"5,44","10,00%",3,680,Yes,0
25,male,Bachelor,$60.777,3,RENT,$13.000,HOMEIMPROVEMENT,"12,19","21,00%",3,679,Yes,0
23,male,Bachelor,$29.568,4,RENT,$2.100,PERSONAL,"12,42","7,00%",3,522,Yes,0
26,female,High School,$49.366,2,RENT,$4.500,EDUCATION,"10,17","9,00%",3,604,Yes,0
24,female,Master,$65.471,0,MORTGAGE,$5.000,EDUCATION,"14,3","8,00%",3,639,Yes,0
25,female,Master,$93.712,5,MORTGAGE,$16.000,EDUCATION,"14,64","17,00%",3,580,Yes,0
26,female,High School,$87.355,2,OWN,$16.000,VENTURE,"10,77","18,00%",3,673,Yes,0
26,male,High School,$60.856,1,RENT,$5.423,DEBTCONSOLIDATION,"8,5","9,00%",3,631,Yes,0
25,male,Master,$192.659,5,MORTGAGE,$17.476,HOMEIMPROVEMENT,"8,62","9,00%",3,532,Yes,0
25,female,Bachelor,$49.185,4,MORTGAGE,$3.500,EDUCATION,"9,32","7,00%",3,722,Yes,0
22,female,High School,$62.740,0,RENT,$10.000,PERSONAL,"9,75","16,00%",3,569,No,0
23,male,Associate,$31.516,2,RENT,$4.000,VENTURE,"12,65","13,00%",3,576,Yes,0
22,male,Bachelor,$58.562,0,RENT,$1.789,PERSONAL,"13,39","3,00%",3,620,No,0
23,female,High School,$70.795,1,MORTGAGE,$3.000,EDUCATION,"11,38","4,00%",3,663,No,0
25,female,Associate,$102.775,4,MORTGAGE,$4.000,EDUCATION,"6,81","4,00%",3,663,Yes,0
22,male,Associate,$29.427,0,RENT,$6.000,MEDICAL,"11,27","20,00%",3,665,Yes,0
25,male,Master,$49.300,2,RENT,$5.000,DEBTCONSOLIDATION,"12,99","10,00%",3,537,Yes,0
26,male,High School,$114.222,6,MORTGAGE,$13.481,VENTURE,"10,19","12,00%",3,637,No,0
25,female,High School,$58.461,3,RENT,$7.000,MEDICAL,"7,23","12,00%",3,552,Yes,0
22,male,High School,$84.933,0,OWN,$8.000,VENTURE,"13,24","9,00%",3,600,No,0
26,female,Associate,$45.926,5,RENT,$10.000,VENTURE,"14,91","22,00%",3,660,No,0
26,female,Bachelor,$102.894,4,RENT,$2.124,PERSONAL,"12,51","2,00%",3,500,Yes,0
26,female,High School,$25.023,6,RENT,$4.800,MEDICAL,"8,72","19,00%",3,653,Yes,0
24,female,Master,$96.598,1,RENT,$16.000,VENTURE,"11,87","17,00%",3,661,Yes,0
23,female,Bachelor,$46.660,4,MORTGAGE,$4.007,MEDICAL,"12,32","9,00%",3,648,Yes,0
25,male,Associate,$54.809,5,RENT,$10.000,VENTURE,"12,88","18,00%",3,616,Yes,0
26,female,Associate,$61.083,4,RENT,$2.800,MEDICAL,"10,15","5,00%",3,675,Yes,0
22,male,High School,$37.133,0,RENT,$6.000,EDUCATION,"11,37","16,00%",3,589,Yes,0
23,female,Associate,$43.070,0,RENT,$5.000,MEDICAL,"11,4","12,00%",3,596,Yes,0
24,female,Associate,$43.111,3,RENT,$5.662,EDUCATION,"12,26","13,00%",3,602,Yes,0
25,female,High School,$96.906,0,MORTGAGE,$25.000,EDUCATION,"10,36","26,00%",3,548,Yes,0
24,female,Master,$54.737,5,RENT,$2.000,PERSONAL,"12,29","4,00%",3,656,Yes,0
24,male,Associate,$99.558,1,MORTGAGE,$14.639,VENTURE,"9,22","15,00%",3,617,Yes,0
23,female,High School,$30.021,0,RENT,$1.500,EDUCATION,"10,01","5,00%",3,660,Yes,0
22,female,Associate,$67.303,0,RENT,$6.000,EDUCATION,"11,14","9,00%",3,631,Yes,0
